date_time,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume
2012-10-02 9:00:00,None,121,13,7,270,6,6,275.15,0,0,90,Mist,mist,6345
2012-10-02 10:00:00,None,178,13,0,36,9,9,290.01,0,0,40,Clouds,scattered clouds,6719
2012-10-02 11:00:00,None,113,14,10,280,5,5,275.15,0,0,90,Rain,light rain,6345
2012-10-02 12:00:00,None,20,14,7,300,1,1,276.33,0,0,90,Snow,heavy snow,6519
2012-10-02 13:00:00,None,281,15,4,166,6,6,267.73,0,0,90,Mist,mist,5156
2012-10-02 14:00:00,None,23,16,7,200,4,4,277.53,0,0,1,Clear,sky is clear,593
2012-10-02 15:00:00,None,184,16,3,120,5,5,282.95,0,0,1,Clear,sky is clear,739
2012-10-02 16:00:00,None,167,16,7,160,8,8,278.15,0,0,40,Clouds,scattered clouds,1043
2012-10-02 17:00:00,None,119,16,4,290,2,2,273.58,0,0,90,Snow,heavy snow,2617
2012-10-02 18:00:00,None,161,16,7,350,6,6,289.78,0,0,40,Thunderstorm,proximity thunderstorm,6199
2012-10-02 19:00:00,None,243,16,9,280,3,3,275.15,0,0,90,Snow,heavy snow,6345
2012-10-02 20:00:00,None,150,17,6,200,1,1,276.29,0,0,1,Clear,sky is clear,352
2012-10-02 21:00:00,None,128,17,4,320,2,2,273.58,0,0,90,Mist,mist,2617
2012-10-02 22:00:00,None,18,17,2,234,8,8,257.83,0,0,90,Clouds,overcast clouds,4313
2012-10-02 23:00:00,None,186,17,5,310,1,1,273.81,0,0,90,Snow,heavy snow,5657
2012-10-03 0:00:00,None,58,18,6,180,2,2,276.08,0,0,1,Clear,sky is clear,260
2012-10-03 1:00:00,None,158,18,4,170,7,7,281.61,0,0,93,Mist,mist,542
2012-10-03 2:00:00,None,166,18,9,300,5,5,271.51,0,0,75,Clouds,broken clouds,1618
2012-10-03 3:00:00,None,101,18,7,310,2,2,272.31,0,0,40,Clouds,scattered clouds,2407
